model,model_label,split,stage,side,metric,peptide_balanced_mean,ci_low,ci_high,n_peptides
onehot_vicreg,One-hot + VICReg,immrep_test,final_latent,tcr,covariance_trace,52.60436744638222,52.207452078253134,53.10051165459292,20
onehot_vicreg,One-hot + VICReg,immrep_test,final_latent,tcr,mean_var_per_dim,0.20548581033743055,0.20393535968064017,0.20703626099527062,20
onehot_vicreg,One-hot + VICReg,immrep_test,final_latent,tcr,median_pairwise_cosine,0.6900288757244265,0.6864726373836961,0.693757453244098,20
onehot_vicreg,One-hot + VICReg,immrep_test,input,hla,mean_latent_norm,0.2520136086227591,0.2513997883754303,0.2525046648206223,20
onehot_vicreg,One-hot + VICReg,immrep_test,input,hla,covariance_trace,0.0,0.0,0.0,20
onehot_vicreg,One-hot + VICReg,immrep_test,input,hla,mean_var_per_dim,0.0,0.0,0.0,20
onehot_vicreg,One-hot + VICReg,immrep_test,input,hla,median_pairwise_cosine,5.551115123125783e-17,3.3306690738754695e-17,7.771561172376095e-17,20
onehot_vicreg,One-hot + VICReg,immrep_test,input,peptide,mean_latent_norm,0.39149391911869436,0.37765357520206855,0.40552088526773494,20
onehot_vicreg,One-hot + VICReg,immrep_test,input,peptide,covariance_trace,0.0,0.0,0.0,20
onehot_vicreg,One-hot + VICReg,immrep_test,input,peptide,mean_var_per_dim,0.0,0.0,0.0,20
onehot_vicreg,One-hot + VICReg,immrep_test,input,peptide,median_pairwise_cosine,1.1102230246251566e-17,0.0,3.3306690738754695e-17,20
onehot_vicreg,One-hot + VICReg,immrep_test,input,pmhc,mean_latent_norm,0.46592644340980005,0.4540874748211106,0.4778358446750994,20
onehot_vicreg,One-hot + VICReg,immrep_test,input,pmhc,covariance_trace,0.0,0.0,0.0,20
onehot_vicreg,One-hot + VICReg,immrep_test,input,pmhc,mean_var_per_dim,0.0,0.0,0.0,20
onehot_vicreg,One-hot + VICReg,immrep_test,input,pmhc,median_pairwise_cosine,-1.0547118733938987e-16,-1.9984014443252818e-16,-1.1102230246251566e-17,20
onehot_vicreg,One-hot + VICReg,immrep_test,input,tcr,mean_latent_norm,0.2536525239499697,0.25352796467032146,0.2537763095694958,20
onehot_vicreg,One-hot + VICReg,immrep_test,input,tcr,covariance_trace,0.002397732292566164,0.0023976810144740557,0.002397783570658272,20
onehot_vicreg,One-hot + VICReg,immrep_test,input,tcr,mean_var_per_dim,0.00010898783148028017,0.00010898550065791161,0.00010899016230264875,20
onehot_vicreg,One-hot + VICReg,immrep_test,input,tcr,median_pairwise_cosine,0.03532562188519404,0.03525629912946194,0.03539113562013144,20
onehot_vicreg,One-hot + VICReg,immrep_test,pre_expander,hla,mean_latent_norm,5.656273174879232,5.6255226354623336,5.687023714284917,20
onehot_vicreg,One-hot + VICReg,immrep_test,pre_expander,hla,covariance_trace,6.229883830754511e-16,3.6758049857651086e-16,9.106917171499719e-16,20
onehot_vicreg,One-hot + VICReg,immrep_test,pre_expander,hla,mean_var_per_dim,8.090758221759107e-18,4.961452141688152e-18,1.1693455566614664e-17,20
onehot_vicreg,One-hot + VICReg,immrep_test,pre_expander,hla,median_pairwise_cosine,-6.661338147750939e-17,-8.881784197001253e-17,-4.884981308350687e-17,20
onehot_vicreg,One-hot + VICReg,immrep_test,pre_expander,peptide,mean_latent_norm,3.7356737525865817,3.6641547146597566,3.8075351550390764,20
