split,category,model,metric,mean,std,n_seeds,seeds,n_pairs,n_pos,n_neg,n_peptides,n_pep_n_le_2,frac_pairs_n_le_2,note
test,unseen_peptide,esm_vicreg_raw,pep_w_auroc,,0.0,5,"31,37,43,49,55",3,3,0,2,2.0,1.0,few_peptides;majority_pairs_in_n<=2_peptides;low_class_counts;pep_w_unstable
test,unseen_peptide,esm_vicreg_raw,pep_w_auroc_min2each,,0.0,5,"31,37,43,49,55",3,3,0,2,2.0,1.0,few_peptides;majority_pairs_in_n<=2_peptides;low_class_counts;pep_w_unstable
test,unseen_peptide,finetuned_esmc_meanpool,global_auroc,,0.0,5,"31,37,43,49,55",3,3,0,2,2.0,1.0,few_peptides;majority_pairs_in_n<=2_peptides;low_class_counts;pep_w_unstable
test,unseen_peptide,finetuned_esmc_meanpool,global_auprc,,0.0,5,"31,37,43,49,55",3,3,0,2,2.0,1.0,few_peptides;majority_pairs_in_n<=2_peptides;low_class_counts;pep_w_unstable
test,unseen_peptide,finetuned_esmc_meanpool,pep_w_auroc,,0.0,5,"31,37,43,49,55",3,3,0,2,2.0,1.0,few_peptides;majority_pairs_in_n<=2_peptides;low_class_counts;pep_w_unstable
test,unseen_peptide,finetuned_esmc_meanpool,pep_w_auroc_min2each,,0.0,5,"31,37,43,49,55",3,3,0,2,2.0,1.0,few_peptides;majority_pairs_in_n<=2_peptides;low_class_counts;pep_w_unstable
test,unseen_peptide,onehot_composition,global_auroc,,0.0,5,"31,37,43,49,55",3,3,0,2,2.0,1.0,few_peptides;majority_pairs_in_n<=2_peptides;low_class_counts;pep_w_unstable
test,unseen_peptide,onehot_composition,global_auprc,,0.0,5,"31,37,43,49,55",3,3,0,2,2.0,1.0,few_peptides;majority_pairs_in_n<=2_peptides;low_class_counts;pep_w_unstable
test,unseen_peptide,onehot_composition,pep_w_auroc,,0.0,5,"31,37,43,49,55",3,3,0,2,2.0,1.0,few_peptides;majority_pairs_in_n<=2_peptides;low_class_counts;pep_w_unstable
test,unseen_peptide,onehot_composition,pep_w_auroc_min2each,,0.0,5,"31,37,43,49,55",3,3,0,2,2.0,1.0,few_peptides;majority_pairs_in_n<=2_peptides;low_class_counts;pep_w_unstable
test,unseen_peptide,onehot_vicreg,global_auroc,,0.0,5,"31,37,43,49,55",3,3,0,2,2.0,1.0,few_peptides;majority_pairs_in_n<=2_peptides;low_class_counts;pep_w_unstable
test,unseen_peptide,onehot_vicreg,global_auprc,,0.0,5,"31,37,43,49,55",3,3,0,2,2.0,1.0,few_peptides;majority_pairs_in_n<=2_peptides;low_class_counts;pep_w_unstable
test,unseen_peptide,onehot_vicreg,pep_w_auroc,,0.0,5,"31,37,43,49,55",3,3,0,2,2.0,1.0,few_peptides;majority_pairs_in_n<=2_peptides;low_class_counts;pep_w_unstable
test,unseen_peptide,onehot_vicreg,pep_w_auroc_min2each,,0.0,5,"31,37,43,49,55",3,3,0,2,2.0,1.0,few_peptides;majority_pairs_in_n<=2_peptides;low_class_counts;pep_w_unstable
